Population size:	Max generations:	Selection:	Recombination:	Recombination prob.:	Mutation:	Mutation prob.:	Agents:	Picks:	Columns:	TW:	CW:	Heuristic:		Fitness(AVG):	Time(AVG):	Fitness StdDev:	Time StdDev	Collisions (AVG)	Collisions StdDev	stdDevPicksPerAgent (AVG)
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	9	12	1	0	GAxN		610.4	610.4	110.672038	110.672038	0.36	1.044222199	1.036014006
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	9	12	1	0	K-Means		711.09	711.09	162.8840136	162.8840136	0.46	0.753923073	1.036014006
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	9	12	1	0	Hybrid		612.45	612.45	111.1430947	111.1430947	0.58	1.258411697	1.036014006
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	9	12	1	0	GA		547.45	547.45	99.10301459	99.10301459	0.66	1.710087717	1.23220648
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	9	12	1	0	GAxN		599.17	599.17	117.7653646	117.7653646	0.54	1.178303866	0.791449119
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	9	12	1	0	K-Means		642.02	642.02	145.9837649	145.9837649	0.67	0.980357078	0.796916951
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	9	12	1	0	Hybrid		600.61	600.61	119.2046891	119.2046891	0.7	0.994987437	0.796916951
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	10	12	1	0	GA		907.65	907.65	158.1679092	158.1679092	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	10	12	1	0	GAxN		907.65	907.65	158.1679092	158.1679092	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	10	12	1	0	K-Means		1674.62	1674.62	380.5401104	380.5401104	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	10	12	1	0	Hybrid		1256.9	1256.9	241.406193	241.406193	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	10	12	1	0	GA		697.85	697.85	115.2644243	115.2644243	0.2	1.029563014	0.99
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	10	12	1	0	GAxN		717.82	717.82	126.5816243	126.5816243	0.2	1.077032961	1.55
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	10	12	1	0	K-Means		1060.86	1060.86	288.2315743	288.2315743	0.22	0.521152569	1.55
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	10	12	1	0	Hybrid		801.6	801.6	166.259496	166.259496	0.1	0.387298335	1.55
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	10	12	1	0	GA		609.3	609.3	106.2169949	106.2169949	0.42	1.607358081	1.456466483
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	10	12	1	0	GAxN		653.31	653.31	125.6476578	125.6476578	0.26	0.657571289	1.376481714
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	10	12	1	0	K-Means		847.03	847.03	217.6611336	217.6611336	0.35	0.62249498	1.376481714
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	10	12	1	0	Hybrid		671.77	671.77	130.4978816	130.4978816	0.39	0.719652694	1.376481714
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	10	12	1	0	GA		583.63	583.63	99.22758235	99.22758235	0.64	1.22898332	1.455918429
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	10	12	1	0	GAxN		623.42	623.42	118.249751	118.249751	0.32	0.630555311	1.132982846
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	10	12	1	0	K-Means		730.14	730.14	159.190893	159.190893	0.48	0.713862732	1.136601643
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	10	12	1	0	Hybrid		628.4	628.4	120.0061665	120.0061665	0.52	0.767854153	1.136601643
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	10	12	1	0	GA		565.15	565.15	92.9059067	92.9059067	0.88	1.626530049	1.309786699
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	10	12	1	0	GAxN		600.91	600.91	106.592504	106.592504	0.76	1.643897807	0.931319871
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	10	12	1	0	K-Means		659.75	659.75	123.8965193	123.8965193	1.01	1.299961538	0.931319871
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	10	12	1	0	Hybrid		602.24	602.24	106.2336218	106.2336218	0.99	1.438714704	0.931319871
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	11	12	1	0	GA		967.02	967.02	170.416782	170.416782	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	11	12	1	0	GAxN		967.02	967.02	170.416782	170.416782	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	11	12	1	0	K-Means		1814.72	1814.72	391.183744	391.183744	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	11	12	1	0	Hybrid		1393.56	1393.56	261.3933939	261.3933939	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	11	12	1	0	GA		712.28	712.28	118.3721319	118.3721319	0.28	0.800999376	1.28
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	11	12	1	0	GAxN		737.63	737.63	133.498888	133.498888	0.06	0.276405499	1.75
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	11	12	1	0	K-Means		1150.1	1150.1	350.0872034	350.0872034	0.17	0.448441746	1.75
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	11	12	1	0	Hybrid		853.01	853.01	196.2151113	196.2151113	0.08	0.271293199	1.75
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	11	12	1	0	GA		630.66	630.66	95.79939666	95.79939666	0.42	0.850646813	1.37125079
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	11	12	1	0	GAxN		668.77	668.77	124.2686489	124.2686489	0.36	0.889044431	1.559879387
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	11	12	1	0	K-Means		896.17	896.17	219.4760604	219.4760604	0.46	0.78	1.559879387
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	11	12	1	0	Hybrid		703.98	703.98	139.2677981	139.2677981	0.37	0.783007024	1.559879387
